"","EXPERIMENT","MODEL","RUN","TRNO","DATE","DAS","DAP","L#SD","GSTD","LAID","LWAD","SWAD","GWAD","RWAD","VWAD","CWAD","G#AD","GWGD","HIAD","PWAD","P#AD","WSPD","WSGD","NSTD","PST1A","PST2A","KSTD","EWSD","LN%D","SH%D","HIPD","PWDD","PWTD","SLAD","CHTD","CWID","NWAD","RDPD","RL1D","RL2D","RL3D","RL4D","RL5D","RL6D","RL7D","RL8D","SNW0C","SNW1C","planting","location","cultivar","density","nitrogen","harvest"
"11","UFEG0302","CRGRO048",11,1,2015-07-02,183,123,19.1,8,2.074,1633,5689,1157,1734,7322,8768,5704,20.3,0.132,1446,5704,0.644,0.763,0,0,0,0,0,4.91,79.99,0.16,0,1446,127,1.79,0.2,0,1,2.8,3.54,3.49,2.09,2.23,1.73,1.11,1.08,2919,1086,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"12","UFEG0302","CRGRO048",12,1,2016-07-06,188,128,19.1,8,2.558,1945,6259,1071,1855,8204,9542,5269,20.3,0.112,1338,5269,0,0,0,0,0,0,0,4.96,80.04,0.14,0,1338,131.5,1.71,0.2,0,1,4.79,4.79,4.56,2.32,2.39,1.43,0.71,0.67,2965,757,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"13","UFEG0302","CRGRO048",13,1,2017-07-10,191,131,19.6,8,2.734,2021,6462,1094,1873,8483,9850,5465,20,0.111,1367,5465,0,0,0,0,0,0,0,5.03,80.05,0.14,0,1367,135.2,1.7,0.2,0,1,4.92,4.85,4.67,2.28,2.43,1.41,0.72,0.67,3099,864,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"14","UFEG0302","CRGRO048",14,1,2018-07-12,193,133,19.9,8,2.559,1850,5885,1152,1680,7735,9175,5629,20.5,0.126,1439,5629,0,0,0,0,0,0,0,4.93,80.04,0.16,0,1439,138.3,1.75,0.2,0,1,4.61,4.61,4.08,2.11,2.1,1.21,0.59,0.55,2828,837,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"15","UFEG0302","CRGRO048",15,1,2019-07-07,188,128,19.5,8,2.254,1652,5409,982,1618,7060,8288,4877,20.1,0.118,1227,4877,0,0,0,0,0,0,0,4.92,80.01,0.15,0,1227,136.5,1.76,0.2,0,1,4.17,4.17,3.96,2.07,2.08,1.25,0.62,0.58,2579,644,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"16","UFEG0302","CRGRO048",16,1,2020-07-05,187,127,19.4,8,2.193,1588,5057,936,1455,6645,7815,4576,20.5,0.12,1170,4576,0,0,0,0,0,0,0,4.93,80.03,0.15,0,1170,138.1,1.85,0.2,0,1,3.96,3.96,3.52,1.76,1.8,1.06,0.55,0.51,2373,663,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"17","UFEG0302","CRGRO048",17,1,2021-07-07,188,128,19.4,8,2.282,1626,5464,1312,1553,7090,8730,6436,20.4,0.15,1640,6436,0,0,0,0,0,0,0.142,4.93,80.03,0.19,0,1640,140.3,1.74,0.2,0,1,4.14,4.25,3.72,1.88,1.9,1.15,0.59,0.59,2798,834,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"18","UFEG0302","CRGRO048",18,1,2022-07-06,187,127,19.5,8,2.758,2081,6672,1251,1970,8753,10316,6225,20.1,0.121,1563,6225,0,0,0,0,0,0,0,4.91,80.04,0.15,0,1563,132.6,1.75,0.2,0,1,5.13,5.13,4.93,2.41,2.53,1.52,0.74,0.71,3142,827,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"19","UFEG0302","CRGRO048",19,1,2023-07-06,187,127,19.4,8,2.704,2017,6572,1405,1943,8589,10345,6883,20.4,0.136,1756,6883,0,0,0,0,0,0,0,4.89,80.01,0.17,0,1756,134.1,1.76,0.2,0,1,5.11,5.11,4.69,2.45,2.47,1.48,0.73,0.7,3161,835,"01-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"20","UFEG0302","CRGRO048",20,2,2005-07-20,201,131,19.6,8,2.07,1531,4818,784,1380,6350,7329,3865,20.3,0.107,980,3865,0,0,0,0,0,0,0,4.93,80.01,0.13,0,980,135.2,1.74,0.2,0,1,3.77,3.77,3.48,1.64,1.71,1.01,0.49,0.47,2192,605,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"21","UFEG0302","CRGRO048",21,2,2006-07-19,200,130,19.6,8,2.669,1966,6362,1334,1843,8328,9995,6580,20.3,0.133,1666,6580,0,0,0,0,0,0,0,4.96,80.03,0.17,0,1666,135.8,1.77,0.2,0,1,4.91,4.91,4.58,2.07,2.32,1.43,0.73,0.68,3159,910,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"22","UFEG0302","CRGRO048",22,2,2007-07-18,199,129,19.5,8,1.696,1233,3847,644,1126,5081,5887,3143,20.5,0.109,806,3143,0,0,0,0,0,0,0,4.85,79.92,0.14,0,806,137.5,1.73,0.2,0,1,3,3,2.77,1.41,1.41,0.85,0.42,0.39,1700,435,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"23","UFEG0302","CRGRO048",23,2,2008-07-17,199,129,19.2,8,2.014,1474,4987,1012,1440,6461,7726,5002,20.2,0.131,1264,5002,0,0,0,0,0,0,0,4.96,80.04,0.16,0,1264,136.6,1.7,0.2,0,1,3.85,3.85,3.18,1.77,1.85,1.13,0.56,0.52,2500,683,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"24","UFEG0302","CRGRO048",24,2,2009-07-16,197,127,19.2,8,2.247,1638,5185,758,1453,6823,7770,3830,19.8,0.098,946,3830,0,0,0,0,0,0,0,4.96,80.05,0.12,0,946,137.2,1.75,0.2,0,1,4.14,4.14,3.68,1.63,1.69,1.01,0.53,0.51,2398,693,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"25","UFEG0302","CRGRO048",25,2,2010-07-21,202,132,19.9,8,2.534,1843,5998,1182,1741,7841,9318,5949,19.9,0.127,1477,5949,0,0,0,0,0,0,0,4.95,80.04,0.16,0,1477,137.5,1.78,0.2,0,1,4.67,4.67,4.12,2.21,2.13,1.34,0.65,0.61,2952,831,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"26","UFEG0302","CRGRO048",26,2,2011-07-16,197,127,19.2,8,2.886,2168,7090,1526,2010,9258,11165,7564,20.2,0.137,1906,7564,0,0,0,0,0,0,0,4.93,80.04,0.17,0,1906,133.1,1.79,0.2,0,1,4.73,5.5,4.81,2.37,2.27,1.59,0.91,0.85,3530,1051,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"27","UFEG0302","CRGRO048",27,2,2012-07-14,196,126,19.5,8,2.692,2022,6487,1338,1933,8508,10181,6583,20.3,0.131,1672,6583,0,0,0,0,0,0,0,4.89,80.02,0.16,0,1672,133.1,1.76,0.2,0,1,4.92,4.95,4.95,2.48,2.48,1.48,0.74,0.68,3104,820,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"28","UFEG0302","CRGRO048",28,2,2013-07-19,200,130,19.4,8,2.644,1933,6264,1317,1770,8197,9842,6441,20.4,0.134,1645,6441,0,0,0,0,0,0,0,4.94,80.04,0.17,0,1645,136.7,1.77,0.2,0,1,4.89,4.89,4.55,2.06,2.2,1.28,0.64,0.59,3083,924,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"29","UFEG0302","CRGRO048",29,2,2014-07-18,199,129,19.6,8,2.615,1943,6367,1278,1885,8310,9907,6253,20.4,0.129,1597,6253,0,0,0,0,0,0,0,4.94,80.04,0.16,0,1597,134.6,1.77,0.2,0,1,4.38,4.68,4.72,2.51,2.51,1.51,0.75,0.7,3108,823,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"30","UFEG0302","CRGRO048",30,2,2015-07-14,195,125,19.6,8,2.001,1525,5550,1325,1594,7074,8729,6562,20.2,0.152,1655,6562,0.801,0.867,0,0,0,0,0,4.99,80.04,0.19,0,1655,131.2,1.83,0.2,0,1,2.86,3.26,2.91,1.88,2.01,1.58,1.04,1.01,3099,1288,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"31","UFEG0302","CRGRO048",31,2,2016-07-14,196,126,19.2,8,2.541,1926,6199,1092,1843,8125,9489,5409,20.2,0.115,1364,5409,0,0,0,0,0,0,0,4.93,80.02,0.14,0,1364,131.9,1.73,0.2,0,1,4.76,4.76,4.72,2.29,2.32,1.43,0.71,0.66,2929,745,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"32","UFEG0302","CRGRO048",32,2,2017-07-18,199,129,19.8,8,2.743,2000,6401,1048,1866,8402,9711,5190,20.2,0.108,1309,5190,0,0,0,0,0,0,0.015,5.03,80.05,0.13,0,1309,137.1,1.78,0.2,0,1,4.9,4.84,4.67,2.28,2.4,1.41,0.72,0.67,3114,866,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"33","UFEG0302","CRGRO048",33,2,2018-07-18,199,129,19.4,8,2.608,1890,5965,1193,1727,7856,9346,5905,20.2,0.128,1490,5905,0,0,0,0,0,0,0,4.89,80.04,0.16,0,1490,138,1.81,0.2,0,1,4.7,4.7,4.28,2.17,2.16,1.26,0.61,0.57,2864,830,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"34","UFEG0302","CRGRO048",34,2,2019-07-14,195,125,19.5,8,2.212,1621,5259,992,1566,6880,8119,4941,20.1,0.122,1239,4941,0,0,0,0,0,0,0,4.9,80.02,0.15,0,1239,136.5,1.8,0.2,0,1,4.06,4.06,3.72,2,2.02,1.22,0.61,0.56,2488,630,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"35","UFEG0302","CRGRO048",35,2,2020-07-11,193,123,19.2,8,2.212,1593,5077,1001,1480,6670,7922,4938,20.3,0.126,1253,4938,0,0,0,0,0,0,0,4.89,79.95,0.16,0,1253,138.9,1.88,0.2,0,1,4,4,3.6,1.81,1.85,1.09,0.56,0.52,2415,661,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"36","UFEG0302","CRGRO048",36,2,2021-07-17,198,128,19.7,8,2.394,1708,5564,1253,1540,7272,8837,6176,20.3,0.142,1565,6176,0,0,0,0,0,0,0,4.95,80.05,0.18,0,1565,140.2,1.79,0.2,0,1,4.33,4.33,3.9,1.78,1.87,1.09,0.55,0.53,2752,869,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"37","UFEG0302","CRGRO048",37,2,2022-07-14,195,125,19.2,8,2.789,2089,6720,1324,1990,8810,10464,6560,20.2,0.127,1655,6560,0,0,0,0,0,0,0,4.91,80.03,0.16,0,1655,133.5,1.78,0.2,0,1,5.11,5.18,5.17,2.41,2.55,1.54,0.75,0.71,3223,850,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"38","UFEG0302","CRGRO048",38,2,2023-07-15,196,126,19.4,8,2.741,2034,6624,1388,1965,8658,10393,6858,20.2,0.134,1735,6858,0,0,0,0,0,0,0,4.91,80.03,0.17,0,1735,134.7,1.79,0.2,0,1,5.14,5.15,4.85,2.47,2.49,1.5,0.74,0.7,3211,849,"15-March","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"39","UFEG0302","CRGRO048",39,3,2005-08-07,219,128,19.7,8,2.244,1639,5244,863,1544,6883,7961,4324,20,0.108,1078,4324,0,0,0,0,0,0,0,4.9,80.01,0.14,0,1078,136.9,1.91,0.2,0,1,4.14,4.14,3.82,1.91,1.95,1.15,0.57,0.53,2473,653,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"40","UFEG0302","CRGRO048",40,3,2006-08-03,215,124,19.2,8,2.645,1940,6185,1240,1760,8126,9675,6145,20.2,0.128,1549,6145,0,0,0,0,0,0,0,4.93,80.03,0.16,0,1549,136.3,1.86,0.2,0,1,4.87,4.86,4.59,2.01,2.13,1.23,0.66,0.62,3036,904,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"41","UFEG0302","CRGRO048",41,3,2007-08-05,217,126,19.6,8,1.926,1420,4407,561,1301,5827,6528,2853,19.6,0.086,700,2853,0,0,0,0,0,0,0,4.92,80.05,0.11,0,700,135.7,1.8,0.2,0,1,3.2,3.43,3.28,1.66,1.66,0.99,0.49,0.46,1900,460,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"42","UFEG0302","CRGRO048",42,3,2008-08-05,218,127,19.5,8,2.667,1957,6156,953,1766,8113,9303,5027,18.9,0.102,1190,5027,0,0,0,0,0,0,0.134,5.04,80.06,0.13,0,1190,136.3,1.81,0.2,0,1,4.73,4.73,4.33,2.11,2.22,1.34,0.67,0.61,2920,827,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"43","UFEG0302","CRGRO048",43,3,2009-08-04,216,125,19.3,8,2.514,1806,5706,748,1636,7512,8447,3788,19.8,0.089,935,3788,0,0,0,0,0,0,0,5.01,80.05,0.11,0,935,139.2,1.89,0.2,0,1,4.54,4.46,4.04,1.96,1.99,1.18,0.61,0.57,2700,759,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"44","UFEG0302","CRGRO048",44,3,2010-08-04,216,125,19.5,8,2.474,1810,5808,1009,1707,7617,8878,5101,19.8,0.114,1260,5101,0,0,0,0,0,0,0,4.95,80.03,0.14,0,1260,136.7,1.88,0.2,0,1,4.51,4.51,4.22,2.16,2.13,1.29,0.64,0.59,2793,748,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"45","UFEG0302","CRGRO048",45,3,2011-08-02,214,123,18.9,8,2.917,2182,7025,1436,2068,9207,11002,7160,20.1,0.131,1795,7160,0,0,0,0,0,0,0,4.95,80.04,0.16,0,1795,133.7,1.83,0.2,0,1,5.34,5.44,5.2,2.62,2.65,1.55,0.78,0.71,3471,957,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"46","UFEG0302","CRGRO048",46,3,2012-08-02,215,124,19.4,8,2.742,2062,6557,1231,1967,8619,10157,6187,19.9,0.121,1538,6187,0,0,0,0,0,0,0,4.91,80.02,0.15,0,1538,133,1.86,0.2,0,1,5.03,5.03,5.03,2.52,2.52,1.51,0.75,0.7,3110,796,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"47","UFEG0302","CRGRO048",47,3,2013-08-01,213,122,19,8,2.615,1916,6093,1248,1760,8008,9568,6154,20.3,0.13,1560,6154,0,0,0,0,0,0,0,4.89,80.01,0.16,0,1560,136.5,1.82,0.2,0,1,4.78,4.78,4.53,2.11,2.21,1.27,0.64,0.59,2972,857,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"48","UFEG0302","CRGRO048",48,3,2014-08-03,215,124,19.1,8,2.695,1991,6429,1293,1922,8420,10036,6415,20.2,0.129,1616,6415,0,0,0,0,0,0,0,4.93,80.03,0.16,0,1616,135.4,1.83,0.2,0,1,4.94,4.94,4.76,2.47,2.47,1.48,0.74,0.68,3141,826,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"49","UFEG0302","CRGRO048",49,3,2015-07-31,212,121,18.9,8,2.53,1898,6230,1244,1698,8128,9682,6260,19.9,0.129,1555,6260,0,0,0,0,0,0,0,4.95,80.02,0.16,0,1555,133.3,1.88,0.2,0,1,4.46,4.36,3.67,1.72,1.82,1.4,0.9,0.88,3177,1211,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"50","UFEG0302","CRGRO048",50,3,2016-08-03,216,125,19.3,8,2.856,2105,6783,1289,2028,8888,10498,6457,20,0.123,1610,6457,0,0,0,0,0,0,0,4.95,80.04,0.15,0,1610,135.7,1.84,0.2,0,1,5.25,5.25,5.18,2.57,2.55,1.54,0.77,0.72,3366,897,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"51","UFEG0302","CRGRO048",51,3,2017-08-03,215,124,19.5,8,2.571,1860,5970,1138,1762,7829,9251,5648,20.1,0.123,1422,5648,0,0,0,0,0,0,0,4.94,80.03,0.15,0,1422,138.2,1.92,0.2,0,1,4.63,4.62,4.27,2.17,2.26,1.37,0.67,0.63,2933,810,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"52","UFEG0302","CRGRO048",52,3,2018-08-02,214,123,19.5,8,2.527,1816,5813,1096,1712,7629,8999,5437,20.2,0.122,1370,5437,0,0,0,0,0,0,0,4.9,80.03,0.15,0,1370,139.1,1.89,0.2,0,1,4.58,4.58,4.29,2.16,2.16,1.26,0.62,0.58,2820,766,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"53","UFEG0302","CRGRO048",53,3,2019-08-03,215,124,19.4,8,2.389,1730,5584,986,1627,7314,8546,4990,19.8,0.115,1232,4990,0,0,0,0,0,0,0.136,4.97,80.03,0.14,0,1232,138.1,1.89,0.2,0,1,4.31,4.31,3.95,2.03,2.01,1.22,0.63,0.6,2691,726,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"54","UFEG0302","CRGRO048",54,3,2020-07-30,212,121,19.1,8,2.135,1537,4872,793,1349,6409,7400,3988,19.9,0.107,991,3988,0,0,0,0,0,0,0,4.91,80.04,0.13,0,991,138.9,1.93,0.2,0,1,3.92,3.92,3.11,1.55,1.59,0.95,0.49,0.46,2273,677,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"55","UFEG0302","CRGRO048",55,3,2021-08-02,214,123,19.2,8,2.549,1823,5729,1249,1626,7552,9113,6176,20.2,0.137,1561,6176,0,0,0,0,0,0,0,4.9,80.03,0.17,0,1561,139.8,1.88,0.2,0,1,4.49,4.49,4.28,1.94,1.96,1.13,0.59,0.54,2779,848,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"56","UFEG0302","CRGRO048",56,3,2022-08-02,214,123,19.5,8,2.836,2109,6782,1348,2015,8890,10576,6725,20,0.127,1685,6725,0,0,0,0,0,0,0,4.9,80.02,0.16,0,1685,134.5,1.89,0.2,0,1,5.26,5.25,5.16,2.55,2.55,1.51,0.75,0.71,3284,877,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"57","UFEG0302","CRGRO048",57,3,2023-08-01,213,122,19,8,2.633,1932,6287,1227,1880,8219,9753,6176,19.9,0.126,1534,6176,0,0,0,0,0,0,0,4.92,80.03,0.16,0,1534,136.3,1.84,0.2,0,1,4.92,4.92,4.61,2.38,2.41,1.43,0.72,0.66,3079,797,"01-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"58","UFEG0302","CRGRO048",58,4,2005-08-19,231,126,19.9,8,2.215,1614,5229,873,1560,6843,7933,4435,19.7,0.11,1090,4435,0,0,0,0,0,0,0,4.92,80.02,0.14,0,1090,137.3,2,0.2,0,1,4.11,4.11,3.93,1.96,1.97,1.17,0.58,0.55,2496,630,"15-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
"59","UFEG0302","CRGRO048",59,4,2006-08-15,227,122,19.3,8,2.609,1922,6105,1231,1770,8027,9566,6130,20.1,0.129,1539,6130,0,0,0,0,0,0,0,4.89,80,0.16,0,1539,135.7,1.93,0.2,0,1,4.83,4.83,4.63,2.06,2.18,1.27,0.65,0.62,2950,840,"15-April","Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity"
