,X,CWAD,GWAD,DAS,DAP,location,cultivar,density,nitrogen,harvest,planting
31,31,8534,776,202,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
32,32,7897,818,218,148,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
33,33,7453,1007,214,144,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
34,34,6673,810,200,130,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
35,35,7571,831,208,138,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
36,36,7807,882,206,136,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
37,37,8234,1131,214,144,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
38,38,7645,1009,213,143,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
39,39,8348,1082,202,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
40,40,7163,1123,208,138,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
41,41,8465,1147,208,138,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
42,42,8449,1152,207,137,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,03/15/2024
43,43,6702,970,221,130,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
44,44,7827,984,221,130,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
45,45,7147,973,220,129,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
46,46,7575,1062,222,131,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
47,47,6436,1050,223,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
48,48,6514,804,226,135,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
49,49,7942,1025,225,134,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
50,50,7619,984,223,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
51,51,8372,622,224,133,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
52,52,8718,890,220,129,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
53,53,7984,778,226,135,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
54,54,7980,1054,224,133,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
55,55,7541,808,216,125,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
56,56,8203,1024,221,130,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
57,57,7546,1113,221,130,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
58,58,8302,1199,226,135,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
59,59,8000,1103,223,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
60,60,8402,1220,222,131,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
61,61,7421,1114,221,130,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
62,62,8388,1217,220,129,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
63,63,8560,1180,222,131,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/01/2024
64,64,6400,878,228,123,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
65,65,7660,991,230,125,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
66,66,7467,968,231,126,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
67,67,8098,956,233,128,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
68,68,6599,1018,234,129,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
69,69,7075,855,237,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
70,70,7868,1088,233,128,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
71,71,7063,816,231,126,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
72,72,8261,986,237,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
73,73,8468,936,231,126,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
74,74,7914,820,237,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
75,75,7804,989,232,127,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
76,76,8182,1018,232,127,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
77,77,8075,1057,231,126,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
78,78,6960,1016,232,127,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
79,79,8304,1183,235,130,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
80,80,8044,1202,233,128,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
81,81,8849,1269,236,131,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
82,82,7718,1120,231,126,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
83,83,8466,1210,230,125,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
84,84,7786,1192,232,127,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,04/15/2024
85,85,6620,937,245,124,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
86,86,7783,1114,247,126,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
87,87,7700,1254,248,127,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
88,88,8711,1241,253,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
89,89,7658,1248,253,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
90,90,7611,1274,250,129,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
91,91,7972,1202,248,127,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
92,92,7836,1043,249,128,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
93,93,7814,1143,257,136,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
94,94,8288,1199,248,127,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
95,95,8252,1208,253,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
96,96,8650,1217,249,128,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
97,97,8912,1084,251,130,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
98,98,8561,1219,250,129,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
99,99,7552,1112,249,128,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
100,100,8202,1245,247,126,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
101,101,8217,1159,248,127,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
102,102,8924,1337,252,131,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
103,103,8185,1195,249,128,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
104,104,8546,1309,248,127,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
105,105,6738,1153,248,127,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/01/2024
106,106,7634,1181,266,131,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
107,107,8683,1291,271,136,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
108,108,8719,1431,272,137,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
109,109,9662,1515,274,139,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
110,110,9027,1353,273,138,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
111,111,8617,1175,267,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
112,112,8851,1610,272,137,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
113,113,8787,1294,270,135,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
114,114,7712,1153,274,139,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
115,115,9127,1506,270,135,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
116,116,8458,1095,269,134,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
117,117,9476,1518,270,135,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
118,118,9664,1408,271,136,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
119,119,9344,1412,269,134,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
120,120,8042,1238,268,133,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
121,121,8595,1383,267,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
122,122,9261,1574,271,136,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
123,123,8997,1351,269,134,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
124,124,8520,1373,269,134,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
125,125,8741,1366,267,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
126,126,6351,1062,266,131,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,05/15/2024
127,127,7267,1201,288,136,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
128,128,8269,1023,291,139,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
129,129,9741,1558,292,140,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
130,130,9555,1617,292,140,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
131,131,9296,1491,291,139,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
132,132,9339,1250,288,136,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
133,133,8683,1171,290,138,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
134,134,8471,1351,292,140,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
135,135,8095,1112,292,140,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
136,136,8737,1062,289,137,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
137,137,8231,1130,288,136,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
138,138,9596,1548,290,138,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
139,139,9798,1564,294,142,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
140,140,9581,1485,290,138,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
141,141,8459,1334,290,138,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
142,142,8684,1401,289,137,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
143,143,9090,1539,291,139,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
144,144,9071,1339,289,137,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
145,145,8489,1200,288,136,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
146,146,8551,1276,289,137,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
147,147,6220,698,284,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/01/2024
148,148,7396,1197,300,134,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
149,149,7744,920,302,136,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
150,150,9259,1516,304,138,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
151,151,8711,1460,302,136,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
152,152,8471,1356,301,135,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
153,153,8335,1086,300,134,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
154,154,7683,975,301,135,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
155,155,7604,1246,304,138,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
156,156,7682,788,303,137,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
157,157,8987,1090,301,135,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
158,158,7461,793,299,133,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
159,159,9178,1523,301,135,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
160,160,9122,1469,305,139,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
161,161,9109,1431,301,135,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
162,162,7555,1205,301,135,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
163,163,8173,1292,300,134,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
164,164,8591,1481,301,135,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
165,165,8477,948,302,136,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
166,166,8049,1035,300,134,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
167,167,7033,1380,300,134,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
168,168,5498,718,298,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/15/2024
169,169,6826,1041,310,129,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
170,170,7142,770,313,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
171,171,8080,1158,317,136,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
172,172,7627,1222,313,132,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
173,173,7800,1186,311,130,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
174,174,7349,1120,310,129,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
175,175,5946,783,308,127,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
176,176,6459,1032,315,134,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
177,177,7453,794,316,135,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
178,178,7578,1087,311,130,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
179,179,5821,455,309,128,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
180,180,8015,1264,311,130,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
181,181,7950,1326,315,134,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
182,182,7775,1107,310,129,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
183,183,7300,1149,310,129,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
184,184,6858,1100,308,127,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
185,185,7049,1217,310,129,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
186,186,7002,675,311,130,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,06/30/2024
