"","TRNO","location","cultivar","density","nitrogen","harvest","Mean_CWAD","Median_CWAD","SD_CWAD","Min_CWAD","Max_CWAD","Mean_GWAD","Median_GWAD","SD_GWAD","Min_GWAD","Max_GWAD","Count","planting","avg_planting_to_harvest"
"30",33,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",284,292,64.7499463749242,142,382,0,0,0,0,0,19,"01-April",35
"31",34,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",301.526315789474,303,59.7358708734195,139,401,0,0,0,0,0,19,"15-April",33.8947368421053
"32",35,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",289.315789473684,313,76.3719353861082,143,402,0,0,0,0,0,19,"01-May",32.4736842105263
"33",36,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",255,274,71.2257756090526,146,375,0,0,0,0,0,19,"15-May",31.7368421052632
"34",37,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",268.473684210526,256,61.1567825084318,164,360,0,0,0,0,0,19,"01-June",31.9473684210526
"35",38,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",273.789473684211,296,78.179692551745,108,392,0,0,0,0,0,19,"15-June",32.1578947368421
"36",39,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","280 Kg/ha (250 LB/acre)","Flowering",269.210526315789,278,52.4145642899719,176,366,0,0,0,0,0,19,"30-June",32
"37",1,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",10170.0526315789,10403,1378.57561247044,6986,12208,1415.68421052632,1423,249.92400014395,883,1848,19,"01-March",130.263157894737
"38",2,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",10271,10531,1313.71868289135,7190,12354,1427.47368421053,1467,249.976969699444,892,1829,19,"15-March",127.684210526316
"39",3,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",10370.6842105263,10393,1081.49911658831,7841,12111,1366.21052631579,1488,250.893199710193,774,1723,19,"01-April",123.894736842105
"40",4,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",10348.7368421053,10490,1030.09599564017,8217,11837,1319.36842105263,1395,275.101841854635,605,1689,19,"15-April",122.473684210526
"41",5,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",10031.4210526316,9974,952.804475441343,8408,11461,1281.73684210526,1327,224.175487337057,628,1544,19,"01-May",121.052631578947
"42",6,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",9957.47368421053,9897,985.113776193787,8136,11505,1300.10526315789,1312,172.600983239391,999,1590,19,"15-May",122.210526315789
"43",7,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",9970.05263157895,10162,860.458629238837,8622,11146,1354.21052631579,1353,188.828722787895,952,1692,19,"01-June",125
"44",8,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",9634.1052631579,9939,813.556451277479,8151,10692,1319.05263157895,1343,197.277715609299,876,1578,19,"15-June",124.631578947368
"45",9,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",8834.63157894737,9190,769.61745262943,7361,9813,1241.05263157895,1256,145.738911788708,926,1480,19,"30-June",121.947368421053
"46",11,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",835.789473684211,836,214.616603620753,489,1194,0,0,0,0,0,19,"01-March",44.4210526315789
"47",12,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",880.526315789474,900,206.670797921357,524,1180,0,0,0,0,0,19,"15-March",42.2631578947368
"48",13,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",969.263157894737,1022,206.100256645822,478,1330,0,0,0,0,0,19,"01-April",39.2105263157895
"49",14,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",973.631578947368,971,199.854449961943,475,1289,0,0,0,0,0,19,"15-April",37.7894736842105
"50",15,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",913.947368421053,957,225.179551490265,471,1255,0,0,0,0,0,19,"01-May",36.2631578947368
"51",16,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",978.684210526316,1013,236.522973427666,629,1370,0,0,0,0,0,19,"15-May",37
"52",17,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",1269.42105263158,1272,309.318303476366,611,1844,0,0,0,0,0,19,"01-June",39.8947368421053
"53",18,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",1262.21052631579,1275,281.367213391912,701,1647,0,0,0,0,0,19,"15-June",39.5789473684211
"54",19,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",1013.84210526316,1014,168.079763854974,702,1299,0,0,0,0,0,19,"30-June",37.2105263157895
"55",21,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",3667.05263157895,3992,823.852297555293,1836,4802,1117.47368421053,1175,275.779172612407,574,1513,19,"01-March",92.4210526315789
"56",22,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",3789.21052631579,4084,857.441580708263,1710,5179,1190.42105263158,1234,289.156304480903,569,1634,19,"15-March",90.1052631578947
"57",23,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",3903.94736842105,4073,843.732216186853,1864,5376,1234.21052631579,1332,293.074995890769,602,1714,19,"01-April",86.1578947368421
"58",24,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",3867.73684210526,3925,782.756797912584,1795,5051,1189.78947368421,1223,300.737718682902,573,1725,19,"15-April",84.5263157894737
"59",25,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",3804.36842105263,3886,785.849802621787,2048,4955,1100.89473684211,1090,292.112971817572,619,1558,19,"01-May",83.1578947368421
"60",26,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",3561.52631578947,3557,738.944470054795,2402,4680,982.157894736842,1035,285.894165180422,384,1431,19,"15-May",82.3157894736842
"61",27,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",3677.52631578947,3588,718.012021597058,2514,4873,1051.26315789474,1061,223.338020375012,597,1390,19,"01-June",82.9473684210526
"62",28,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",3685.84210526316,3677,744.933872021007,2354,4855,1083.47368421053,1076,231.888710956368,676,1485,19,"15-June",83.3684210526316
"63",29,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",3485.78947368421,3411,558.898478054762,2556,4596,991.368421052632,978,209.674141500651,470,1359,19,"30-June",83.1052631578947
"64",31,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",470.789473684211,480,113.26300707614,274,652,0,0,0,0,0,19,"01-March",39.9473684210526
"65",32,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",497.736842105263,506,127.503743781752,288,713,0,0,0,0,0,19,"15-March",38
"66",33,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",530.368421052632,546,115.540858826995,272,702,0,0,0,0,0,19,"01-April",35
"67",34,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",561.421052631579,567,106.670997719089,265,735,0,0,0,0,0,19,"15-April",33.8947368421053
"68",35,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",539.105263157895,582,136.157137462093,273,732,0,0,0,0,0,19,"01-May",32.4736842105263
"69",36,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",477.631578947368,514,127.893276048741,278,689,0,0,0,0,0,19,"15-May",31.7368421052632
"70",37,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",500.526315789474,481,108.371976913393,317,664,0,0,0,0,0,19,"01-June",31.9473684210526
"71",38,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",512.473684210526,547,131.14341954985,256,715,0,0,0,0,0,19,"15-June",32.1578947368421
"72",39,"Belle Glade (EREC)","NWG 2730","80/m2 (7.4/sqft)","280 Kg/ha (250 LB/acre)","Flowering",501.578947368421,520,89.4845211875425,337,649,0,0,0,0,0,19,"30-June",32
"73",1,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",10786,11022,1325.47764975499,7660,12278,1565.68421052632,1553,252.894148394932,1020,1975,19,"01-March",130.210526315789
"74",2,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",10878.4210526316,11128,1305.73063054068,7878,12909,1569.84210526316,1611,253.43424813678,1034,1979,19,"15-March",127.684210526316
"75",3,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",10930.5263157895,10958,1063.29056175321,8522,12626,1503.84210526316,1635,258.376182071777,896,1868,19,"01-April",123.894736842105
"76",4,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",10906.7368421053,11006,993.253119921563,8884,12343,1444.36842105263,1505,285.676820225294,711,1824,19,"15-April",122.473684210526
"77",5,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",10597.6842105263,10561,907.062294359077,9035,12000,1393.10526315789,1435,242.54848192036,739,1680,19,"01-May",121.052631578947
"78",6,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",10493.6315789474,10366,933.905075507398,8735,11948,1419.31578947368,1415,171.083492492726,1126,1702,19,"15-May",122.210526315789
"79",7,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",10448.5263157895,10600,789.543564938422,9152,11540,1446.57894736842,1449,199.769121123326,1059,1793,19,"01-June",125.052631578947
"80",8,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",10117.8947368421,10428,755.087845863486,8726,11099,1419.05263157895,1437,198.327863701669,988,1679,19,"15-June",124.631578947368
"81",9,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",9367.63157894737,9786,738.734594539602,7935,10291,1340.57894736842,1368,151.663119295318,1045,1581,19,"30-June",121.947368421053
"82",11,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",1128.84210526316,1135,266.368846851691,693,1581,0,0,0,0,0,19,"01-March",44.4210526315789
"83",12,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",1185.31578947368,1215,256.689187893231,730,1558,0,0,0,0,0,19,"15-March",42.2631578947368
"84",13,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",1297.42105263158,1363,257.72537403417,665,1739,0,0,0,0,0,19,"01-April",39.2105263157895
"85",14,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",1302.47368421053,1300,250.66519689752,660,1694,0,0,0,0,0,19,"15-April",37.7894736842105
"86",15,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",1225.68421052632,1283,283.281966447954,655,1642,0,0,0,0,0,19,"01-May",36.2631578947368
"87",16,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",1299.05263157895,1337,289.786793979492,860,1776,0,0,0,0,0,19,"15-May",37
"88",17,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",1643.26315789474,1655,364.769309458467,849,2295,0,0,0,0,0,19,"01-June",39.8947368421053
"89",18,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",1637.63157894737,1655,327.415843390212,1008,2072,0,0,0,0,0,19,"15-June",39.5789473684211
"90",19,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",1342.94736842105,1352,199.939011168742,965,1693,0,0,0,0,0,19,"30-June",37.2105263157895
"91",21,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",4601.52631578947,4987,942.387651330447,2427,5816,1416.21052631579,1501,326.464832025913,768,1872,19,"01-March",92.4210526315789
"92",22,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",4709.8947368421,5017,955.325534670241,2266,6195,1505.84210526316,1534,341.876888685889,764,2020,19,"15-March",90.1052631578947
"93",23,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",4798.84210526316,4972,938.53486664398,2467,6410,1545.89473684211,1674,347.625100541252,797,2104,19,"01-April",86.1578947368421
"94",24,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",4751,4833,877.24663958699,2366,6031,1490.57894736842,1538,352.887346800879,769,2120,19,"15-April",84.5263157894737
"95",25,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",4663.15789473684,4630,865.88639639504,2692,5905,1385.68421052632,1359,340.063401381366,828,1913,19,"01-May",83.1578947368421
"96",26,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",4404.63157894737,4320,808.930103458081,3145,5615,1246.78947368421,1334,342.653790119183,519,1762,19,"15-May",82.3157894736842
"97",27,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",4533.47368421053,4436,772.366160172827,3295,5827,1331.89473684211,1357,254.666643703499,799,1713,19,"01-June",82.9473684210526
"98",28,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",4527.36842105263,4483,794.314603956442,3068,5792,1356.78947368421,1359,264.94015654428,905,1829,19,"15-June",83.3684210526316
"99",29,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Grain Maturity",4306.47368421053,4240,605.308678684874,3312,5478,1252,1264,247.637503890936,607,1687,19,"30-June",83.1052631578947
"100",31,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",663.947368421053,679,152.669022428771,396,906,0,0,0,0,0,19,"01-March",39.9473684210526
"101",32,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",698.736842105263,713,169.993739134796,414,985,0,0,0,0,0,19,"15-March",38
"102",33,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",741.473684210526,769,153.146759105642,389,971,0,0,0,0,0,19,"01-April",35
"103",34,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",786.105263157895,799,143.53818490672,380,1014,0,0,0,0,0,19,"15-April",33.8947368421053
"104",35,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",755.263157894737,815,183.149860346737,392,1005,0,0,0,0,0,19,"01-May",32.4736842105263
"105",36,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",672.263157894737,728,173.021463699117,398,955,0,0,0,0,0,19,"15-May",31.7368421052632
"106",37,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",704.157894736842,678,144.758136657858,457,920,0,0,0,0,0,19,"01-June",31.9473684210526
"107",38,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",719.263157894737,763,172.403223128308,368,984,0,0,0,0,0,19,"15-June",32.1578947368421
"108",39,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","280 Kg/ha (250 LB/acre)","Flowering",704.894736842105,729,119.046627063536,485,901,0,0,0,0,0,19,"30-June",32
"109",1,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Grain Maturity",10798.6315789474,11027,1322.25082552972,7660,12363,1565.84210526316,1553,252.920335098688,1020,1975,19,"01-March",130.210526315789
"110",2,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Grain Maturity",10900,11143,1281.51420853093,7878,12906,1572.63157894737,1611,255.202362085532,1034,1979,19,"15-March",127.684210526316
"111",3,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Grain Maturity",10954.7368421053,10958,1048.00131690467,8523,12624,1504.31578947368,1635,258.710273951293,896,1868,19,"01-April",123.894736842105
"112",4,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Grain Maturity",10904.7894736842,11006,1001.1304487621,8884,12344,1444.31578947368,1505,285.715486421871,711,1824,19,"15-April",122.473684210526
"113",5,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Grain Maturity",10597.6315789474,10562,906.86169535543,9034,12000,1393.05263157895,1435,242.496156598228,739,1680,19,"01-May",121.052631578947
"114",6,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Grain Maturity",10493.6315789474,10366,933.799419964023,8735,11948,1419.31578947368,1415,171.083492492726,1126,1702,19,"15-May",122.210526315789
"115",7,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Grain Maturity",10448.9473684211,10601,789.658538981967,9152,11541,1446.57894736842,1449,199.769121123326,1059,1793,19,"01-June",125.052631578947
"116",8,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Grain Maturity",10119,10428,755.394010507835,8726,11100,1419.26315789474,1437,198.1337489075,988,1679,19,"15-June",124.631578947368
"117",9,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Grain Maturity",9368.36842105263,9787,738.673000162853,7936,10292,1340.68421052632,1368,151.505794766911,1045,1581,19,"30-June",121.947368421053
