crop_code,crop_name,model_code,module_code_048,model_family,wrapper_adapter,source_plant_dir,install_crop_dir,genotype_stem,genotype_extensions,has_ecotype_file,default_profile_module,is_default_profile_module,default_outputs,cultivar_id_strategy,phenology_strategy,omniwrapper_readiness
GB,Green bean,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,GREENBEAN,GBGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
GY,Guar,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,Guar,GYGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
HM,Hemp,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,Hemp,HMGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
LT,Lentil,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,Lentil,LTGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
NP,Napier grass,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,Napier,NPGRO048,,False,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",special_case_no_eco
PE,Pea,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,PEA,PEGRO048,,False,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",special_case_no_eco
PN,Peanut,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,Peanut,PNGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
PO,Perennial peanut,PRFRM,PRFRM048,FORAGE,FORAGE,Plant/FORAGE,PERENNIALPEANUT,POFRM048,,False,PRFRM048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,needs_family_adapter
PP,Pigeonpea,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,PIGEONPEA,PPGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
PR,Bellpepper,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,BellPepper,PRGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
QU,Quinoa,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,Quinoa,QUGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
SF,Safflower,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,SAFFLOWER,SFGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
SB,Soybean,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,Soybean,SBGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
SR,Strawberry,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,Strawberry,SRGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
SU,Sunflower,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,SUNFLOWER,SUGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
TM,Tomato,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,TOMATO,TMGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
VB,Velvetbean,CRGRO,CRGRO048,CROPGRO,CROPGRO,Plant/CROPGRO,VELVETBEAN,VBGRO048,"CUL,ECO,SPE",True,CRGRO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,"must map CROPGRO stage variables, not blindly Zadok",good_v1_target
BA,Barley,CSCER,CSCER048,CERES,CERES,Plant/CERES-Wheat_Barley,BARLEY,BACER048,"CUL,ECO,SPE",True,CSCER048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,can use GSTD-like staging with crop-specific care,good_v1_target
RY,Rye,CSCER,CSCER048,CERES,CERES,Plant/CERES-Wheat_Barley,Rye,RYCER048,,False,CSCER048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,can use GSTD-like staging with crop-specific care,special_case_no_eco
WH,Wheat,CSCER,CSCER048,CERES,CERES,Plant/CERES-Wheat_Barley,Wheat,WHCER048,"CUL,ECO,SPE",True,CSCER048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,can use GSTD-like staging with crop-specific care,good_v1_target
BA,Barley,CSCRP,CSCRP048,CROPSIM,CROPSIM,Plant/CROPSIM,BARLEY,BACRP048,"CUL,ECO,SPE",True,CSCER048,False,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,advanced_adapter_needed
WH,Wheat,CSCRP,CSCRP048,CROPSIM,CROPSIM,Plant/CROPSIM,Wheat,WHCRP048,"CUL,ECO,SPE",True,CSCER048,False,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,advanced_adapter_needed
CS,Cassava,CSCAS,CSCAS048,CSCAS,CSCAS,Plant/CSCAS,CASSAVA,CSCAS048,"CUL,ECO,SPE",True,CSYCA048,False,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,advanced_adapter_needed
CS,Cassava,CSYCA,CSYCA048,CSYCA,CSYCA,Plant/CSYCA-Cassava,CASSAVA,CSYCA048,"CUL,ECO,SPE",True,CSYCA048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,advanced_adapter_needed
ML,Millet,MLCER,MLCER048,CERES,CERES,Plant/CERES-Millet,PearlMillet,MLCER048,"CUL,ECO,SPE",True,MLCER048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,can use GSTD-like staging with crop-specific care,good_v1_target
MZ,Maize,MZCER,MZCER048,CERES,CERES,Plant/CERES-Maize,Maize,MZCER048,"CUL,ECO,SPE",True,MZCER048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,can use GSTD-like staging with crop-specific care,good_v1_target
MZ,Maize,MZIXM,MZIXM048,CERES-IXIM,CERES,Plant/CERES-IXIM-Maize,Maize,MZIXM048,"CUL,ECO,SPE",True,MZCER048,False,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,can use GSTD-like staging with crop-specific care,good_v1_target
PT,Potato,PTSUB,PTSUB048,SUBSTOR,SUBSTOR,Plant/SUBSTOR-Potato,POTATO,PTSUB048,"CUL,ECO,SPE",True,PTSUB048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",VAR# (observed in local SUBSTOR wrapper),can use GSTD-like staging with crop-specific care,good_v1_target
RI,Rice,RICER,RICER048,CERES,CERES,Plant/CERES-Rice,Rice,RICER048,"CUL,SPE",False,RICER048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,can use GSTD-like staging with crop-specific care,special_case_no_eco
SC,Sugarcane,SCCAN,SCCAN048,CANEGRO,SUGARCANE,Plant/CANEGRO-Sugarcane,SUGARCANE,SCCAN048,"CUL,ECO,SPE",True,SCCAN048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,needs_family_adapter
SC,Sugarcane,SCCSP,SCCSP048,CASUPRO,SUGARCANE,Plant/CASUPRO-Sugarcane,SUGARCANE,SCCSP048,"CUL,ECO,SPE",True,SCCAN048,False,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,needs_family_adapter
SC,Sugarcane,SCSAM,SCSAM048,SAMUCA,SUGARCANE,Plant/SAMUCA-Sugarcane,SUGARCANE,SCSAM048,"CUL,ECO,SPE",True,SCCAN048,False,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,needs_family_adapter
SG,Sorghum,SGCER,SGCER048,CERES,CERES,Plant/CERES-Sorghum,Sorghum,SGCER048,"CUL,ECO,SPE",True,SGCER048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,can use GSTD-like staging with crop-specific care,good_v1_target
SW,Sweetcorn,SWCER,SWCER048,CERES,CERES,Plant/CERES-SweetCorn,SweetCorn,SWCER048,"CUL,ECO,SPE",True,SWCER048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,can use GSTD-like staging with crop-specific care,good_v1_target
PI,Pineapple,PIALO,PIALO048,ALOHA,ALOHA,Plant/ALOHA-Pineapple,PINEAPPLE,PIALO048,"CUL,SPE",False,PIALO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,special_case_no_eco
TR,Taro,TRARO,TRARO048,AROIDS,AROIDS,Plant/AROIDS,TARO,TRARO048,"CUL,SPE",False,TRARO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,special_case_no_eco
TN,Tanier,TNARO,TNARO048,AROIDS,AROIDS,Plant/AROIDS,Tanier,TNARO048,"CUL,SPE",False,TNARO048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,special_case_no_eco
TF,Teff,TFAPS,TFAPS048,NWHEAT,NWHEAT,Plant/NWHEAT,Teff,TFAPS048,"CUL,ECO,SPE",True,TFAPS048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT,PlantGr2.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,can use GSTD-like staging with crop-specific care,needs_family_adapter
TF,Teff,TFCER,TFCER048,CERES,CERES,Plant/CERES-TEFF,Teff,TFCER048,"CUL,SPE",False,TFAPS048,False,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,can use GSTD-like staging with crop-specific care,special_case_no_eco
WH,Wheat,WHAPS,WHAPS048,NWHEAT,NWHEAT,Plant/NWHEAT,Wheat,WHAPS048,"CUL,ECO,SPE",True,CSCER048,False,"PlantGro.OUT,Summary.OUT,Evaluate.OUT,PlantGr2.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,can use GSTD-like staging with crop-specific care,needs_family_adapter
BM,Bermudagrass,PRFRM,PRFRM048,FORAGE,FORAGE,Plant/FORAGE,Bermudagrass,BMFRM048,"CUL,ECO,SPE",True,PRFRM048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,needs_family_adapter
BR,Brachiaria,PRFRM,PRFRM048,FORAGE,FORAGE,Plant/FORAGE,BRACHIARIA,BRFRM048,"CUL,ECO,SPE",True,PRFRM048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,needs_family_adapter
BH,Bahiagrass,PRFRM,PRFRM048,FORAGE,FORAGE,Plant/FORAGE,BAHIA,BHFRM048,"CUL,ECO,SPE",True,PRFRM048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,needs_family_adapter
AL,Alfalfa,PRFRM,PRFRM048,FORAGE,FORAGE,Plant/FORAGE,ALFALFA,ALFRM048,"CUL,ECO,SPE",True,PRFRM048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,needs_family_adapter
GG,Guinea grass,PRFRM,PRFRM048,FORAGE,FORAGE,Plant/FORAGE,GUINEAGRASS,GGFRM048,"CUL,ECO,SPE",True,PRFRM048,True,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,needs_family_adapter
SU,Sunflower,SUOIL,SUOIL048,OILCROP,OILCROP,Plant/OilCrop-Sunflower,SUNFLOWER,SUOIL048,"CUL,ECO,SPE",True,CRGRO048,False,"PlantGro.OUT,Summary.OUT,Evaluate.OUT",needs source-aware adapter; current generic wrapper assumes VAR-NAME,custom,advanced_adapter_needed
