,location,cultivar,density,nitrogen,harvest,Mean_CWAD,SD_CWAD,SD_GWAD,Mean_GWAD,planting,avg_planting_to_harvest
41,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,9024.142857,697.8790931,94.24961791,1347.761905,05/01/2024,128.4761905
42,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,9511.952381,841.3683186,152.1857105,1469.238095,05/15/2024,134.5238095
43,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,9497.666667,933.8382265,261.3151992,1404.333333,06/01/2024,137.6666667
44,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,8935,1032.027325,296.048331,1307.714286,06/15/2024,135.1904762
45,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,7874.619048,943.327805,271.3896777,1169.571429,06/30/2024,130.047619
46,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,813.6190476,157.1150776,0,0,03/01/2024,57.23809524
47,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,941.3809524,192.3929511,0,0,03/15/2024,51.42857143
48,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,1074.142857,241.5695108,0,0,04/01/2024,46
49,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,1143.047619,211.7544512,0,0,04/15/2024,42.57142857
50,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,1565.047619,254.198048,0,0,05/01/2024,43.28571429
51,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,2552.571429,378.5924684,0,0,05/15/2024,49.9047619
52,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,2964.571429,502.2462117,0,0,06/01/2024,52.80952381
53,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,2493.809524,419.7952619,0,0,06/15/2024,49.57142857
54,Jay (WFREC),IH Williams,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,1596.238095,293.7723446,0,0,06/30/2024,43.33333333
55,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,3378.857143,504.5507195,179.1484354,946.4761905,03/01/2024,105.3333333
56,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,3793.047619,491.5192241,167.3687261,1131.761905,03/15/2024,99.28571429
57,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,4088.904762,588.880625,252.6878462,1237.952381,04/01/2024,93.42857143
58,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,4159.52381,556.8037912,255.718856,1210.666667,04/15/2024,89.33333333
59,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,4187.428571,464.2872571,182.6998449,1175.333333,05/01/2024,86.19047619
60,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,4169.952381,541.1053018,178.3278815,1178.666667,05/15/2024,85.19047619
61,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,4123.952381,752.9494323,224.2899696,1228.761905,06/01/2024,85.47619048
62,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,3962.238095,661.8925823,224.3725962,1205.190476,06/15/2024,85.66666667
63,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,3605.952381,695.8166767,216.253687,1003.428571,06/30/2024,84.71428571
64,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,428.2857143,88.95624928,0,0,03/01/2024,51.71428571
65,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,513.7142857,99.71416291,0,0,03/15/2024,46.61904762
66,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,609.1904762,143.2520921,0,0,04/01/2024,41.71428571
67,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,627.2380952,126.0352747,0,0,04/15/2024,38
68,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,621.952381,102.9137873,0,0,05/01/2024,35
69,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,622.5238095,109.5876905,0,0,05/15/2024,34.23809524
70,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,650.7619048,157.8600344,0,0,06/01/2024,34.42857143
71,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,646,145.5812488,0,0,06/15/2024,34.28571429
72,Jay (WFREC),NWG 2730,80/m2 (7.4/sqft),280 Kg/ha (250 LB/acre),Flowering,580.2380952,136.2512036,0,0,06/30/2024,33.52380952
73,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,8229.047619,1173.206439,185.1981693,1241.809524,03/01/2024,143.1904762
74,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,8464.666667,1194.428455,226.0451282,1255,03/15/2024,138.4761905
75,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,8848.333333,937.054712,194.4744566,1292.285714,04/01/2024,130.6666667
76,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,8945.809524,809.6158113,153.9511209,1354.047619,04/15/2024,127.4761905
77,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,9211.285714,597.2002296,91.63384694,1447.52381,05/01/2024,128.5238095
78,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,9500.142857,693.9340953,135.4233749,1489.238095,05/15/2024,134.6190476
79,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,9499.238095,858.6866661,236.246159,1419.380952,06/01/2024,137.7142857
80,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,9061.190476,905.6437831,264.0392918,1357.619048,06/15/2024,135.1904762
81,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,8206.047619,959.7408752,276.3729623,1247.285714,06/30/2024,130.047619
82,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,1113.714286,201.899763,0,0,03/01/2024,57.23809524
83,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,1232.095238,252.0771518,0,0,03/15/2024,52.9047619
84,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,1432.761905,293.6948935,0,0,04/01/2024,46
85,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,1505.047619,251.9177398,0,0,04/15/2024,42.57142857
86,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,1984.47619,291.303213,0,0,05/01/2024,43.28571429
87,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,3036.761905,420.0773625,0,0,05/15/2024,49.9047619
88,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,3452.428571,535.0239781,0,0,06/01/2024,52.80952381
89,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,2966.666667,478.0569352,0,0,06/15/2024,49.57142857
90,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,1993.47619,367.789426,0,0,06/30/2024,43.33333333
91,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,4258.761905,558.078391,212.7451303,1229.904762,03/01/2024,105.3333333
92,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,4626.190476,592.2262759,225.4096905,1407.857143,03/15/2024,101
93,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,4985.619048,639.8656481,293.2329482,1544.809524,04/01/2024,93.38095238
94,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,5048.904762,586.8526139,290.3288366,1507.333333,04/15/2024,89.33333333
95,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,5091.238095,478.0541711,206.3369297,1459.142857,05/01/2024,86.19047619
96,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,5029.619048,554.2646909,197.3381193,1438.666667,05/15/2024,85.19047619
97,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,4944.904762,798.7957752,245.7512777,1497.095238,06/01/2024,85.47619048
98,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,4737.047619,720.2841437,245.8900742,1465.142857,06/15/2024,85.66666667
99,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Grain Maturity,4362.190476,745.826764,243.0976386,1234.190476,06/30/2024,84.66666667
100,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,609.7619048,121.8625885,0,0,03/01/2024,51.71428571
101,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,720.047619,142.0878166,0,0,03/15/2024,48.19047619
102,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,849.7619048,187.9826866,0,0,04/01/2024,41.71428571
103,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,870.2857143,164.1804321,0,0,04/15/2024,38
104,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,867.5238095,135.4369296,0,0,05/01/2024,35
105,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,856.5238095,141.0055386,0,0,05/15/2024,34.23809524
106,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,889.1904762,207.081293,0,0,06/01/2024,34.42857143
107,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,885.2380952,195.8795305,0,0,06/15/2024,34.28571429
108,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),280 Kg/ha (250 LB/acre),Flowering,799.7619048,181.6438561,0,0,06/30/2024,33.52380952
109,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,7585.47619,942.2203892,175.7718624,1198.047619,03/01/2024,143.2380952
110,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,7813.52381,933.743574,187.3160177,1188.095238,03/15/2024,138.5714286
111,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,8128.428571,699.1161256,178.6041646,1192.952381,04/01/2024,130.7142857
112,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,8231.428571,581.5396437,89.23759084,1268.952381,04/15/2024,127.4761905
113,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,8344.666667,505.9706843,81.43481179,1315.142857,05/01/2024,128.5238095
114,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,8509.380952,601.5837827,95.58588758,1255.47619,05/15/2024,134.6190476
115,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,8500.428571,720.009623,179.8424708,1211.714286,06/01/2024,137.7142857
116,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,8188.857143,725.0896004,191.1591708,1225.857143,06/15/2024,135.1428571
117,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,7560.333333,752.2949776,226.2140369,1190.904762,06/30/2024,130.0952381
118,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,1113.714286,202.1791638,0,0,03/01/2024,57.23809524
119,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,1228.619048,256.3728683,0,0,03/15/2024,52.9047619
120,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,1423.238095,293.9998137,0,0,04/01/2024,46
121,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,1492.619048,261.2227931,0,0,04/15/2024,42.57142857
122,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,1972,297.0124577,0,0,05/01/2024,43.28571429
123,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,3022.190476,430.4122,0,0,05/15/2024,49.9047619
124,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,3414.285714,562.6803838,0,0,06/01/2024,52.80952381
125,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,2945.142857,492.4655608,0,0,06/15/2024,49.57142857
126,Jay (WFREC),IH Williams,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,1951.809524,392.7292476,0,0,06/30/2024,43.33333333
127,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,4214.666667,552.2330426,211.459565,1226.380952,03/01/2024,105.3333333
128,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,4582.238095,586.3883444,227.3146655,1398.571429,03/15/2024,101
129,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,4939.809524,653.8514831,289.2272298,1526.238095,04/01/2024,93.38095238
130,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,4997.761905,562.9406634,284.4760598,1489.857143,04/15/2024,89.33333333
131,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,5053.333333,483.1050955,198.3222486,1442.285714,05/01/2024,86.19047619
132,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,4994.714286,550.898461,196.1324382,1421.666667,05/15/2024,85.19047619
133,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,4860.904762,833.2708986,256.7770109,1463.666667,06/01/2024,85.47619048
134,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,4691.238095,731.1546283,249.1364036,1447.047619,06/15/2024,85.66666667
135,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Grain Maturity,4289.666667,787.8291905,252.3262722,1211.380952,06/30/2024,84.66666667
136,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,609.9047619,121.9343695,0,0,03/01/2024,51.71428571
137,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,717.952381,144.1674291,0,0,03/15/2024,48.19047619
138,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,847.1428571,189.1404996,0,0,04/01/2024,41.71428571
139,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,864.1904762,165.3437689,0,0,04/15/2024,38
140,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,860.9047619,136.3568498,0,0,05/01/2024,35
141,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,848.4761905,144.5664619,0,0,05/15/2024,34.23809524
142,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,872.2380952,216.5894514,0,0,06/01/2024,34.42857143
143,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,876.047619,203.4144725,0,0,06/15/2024,34.28571429
144,Jay (WFREC),NWG 2730,120/m2 (11.2/sqft),224 Kg/ha (200 LB/acre),Flowering,781.0952381,190.8321002,0,0,06/30/2024,33.52380952
145,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),112 Kg/ha (100 LB/acre),Grain Maturity,4820.190476,514.9265597,99.1067486,734.952381,03/01/2024,143.9047619
146,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),112 Kg/ha (100 LB/acre),Grain Maturity,4948.095238,477.1319424,83.21532597,761.0952381,03/15/2024,139.2380952
147,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),112 Kg/ha (100 LB/acre),Grain Maturity,5092.714286,289.9555385,79.06365729,784.5238095,04/01/2024,131.2857143
148,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),112 Kg/ha (100 LB/acre),Grain Maturity,5044.095238,271.4562404,43.85044931,782.8095238,04/15/2024,127.7142857
149,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),112 Kg/ha (100 LB/acre),Grain Maturity,5020.952381,364.2468224,60.26963225,828.1428571,05/01/2024,128.7142857
150,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),112 Kg/ha (100 LB/acre),Grain Maturity,4972.285714,459.9395768,56.92442776,820.9047619,05/15/2024,134.8095238
151,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),112 Kg/ha (100 LB/acre),Grain Maturity,4892.142857,492.8548758,80.16295903,785,06/01/2024,137.9047619
152,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),112 Kg/ha (100 LB/acre),Grain Maturity,4819.095238,400.843848,88.63378373,778.6190476,06/15/2024,135.4285714
153,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),112 Kg/ha (100 LB/acre),Grain Maturity,4571.047619,359.0570256,128.6570932,732.3809524,06/30/2024,130.4761905
154,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),112 Kg/ha (100 LB/acre),Flowering,443.047619,95.63078803,0,0,03/01/2024,57.23809524
155,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),112 Kg/ha (100 LB/acre),Flowering,498.5238095,125.2400172,0,0,03/15/2024,52.9047619
156,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),112 Kg/ha (100 LB/acre),Flowering,578.8095238,161.6875441,0,0,04/01/2024,46
157,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),112 Kg/ha (100 LB/acre),Flowering,610.1904762,155.5498695,0,0,04/15/2024,42.57142857
158,Jay (WFREC),IH Williams,40/m2 (3.7/sqft),112 Kg/ha (100 LB/acre),Flowering,885.3809524,209.2721855,0,0,05/01/2024,43.28571429
