TRNO,DATE,CHTD,CWID,SWAD,LWAD,GWAD,CWAD,L#SD,G#AD,P#AD,GSTD,PWAD,RDPD,RWAD,FLWAD,Date,non_missing_biomass,non_missing_structure,row_type,experiment,LAID
1,2021-07-09T00:00:00Z,1.56,0.267,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,2021-07-09,0,3,standing_only,UFCI2101,NA
1,2021-07-09T00:00:00Z,1.52,0.195,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,2021-07-09,0,3,standing_only,UFCI2101,NA
1,2021-07-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-16,0,0,empty,UFCI2101,NA
1,2021-07-16T00:00:00Z,1.77,NA,1947,1165,NA,3112,NA,NA,NA,NA,NA,NA,330,NA,2021-07-16,4,1,mixed_harvest,UFCI2101,NA
1,2021-07-16T00:00:00Z,1.84,NA,2957,1528,NA,4485,NA,NA,NA,NA,NA,NA,276,NA,2021-07-16,4,1,mixed_harvest,UFCI2101,NA
1,2021-07-16T00:00:00Z,1.84,NA,2660,1676,NA,4336,NA,NA,NA,NA,NA,NA,889,NA,2021-07-16,4,1,mixed_harvest,UFCI2101,NA
1,2021-07-16T00:00:00Z,1.94,0.3,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,2021-07-16,0,3,standing_only,UFCI2101,NA
1,2021-07-16T00:00:00Z,2.04,0.31,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,2021-07-16,0,3,standing_only,UFCI2101,NA
1,2021-07-16T00:00:00Z,1.68,0.305,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,2021-07-16,0,3,standing_only,UFCI2101,NA
1,2021-07-16T00:00:00Z,2.11,0.28,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,374,NA,2021-07-16,1,3,mixed_harvest,UFCI2101,NA
1,2021-07-25T00:00:00Z,1.89,0.32,2961,2162,NA,5124,20,NA,NA,NA,NA,NA,321,NA,2021-07-25,4,3,mixed_harvest,UFCI2101,NA
1,2021-07-25T00:00:00Z,1.67,0.31,3203,1351,NA,4554,20,NA,NA,NA,NA,NA,799.4,NA,2021-07-25,4,3,mixed_harvest,UFCI2101,NA
1,2021-07-25T00:00:00Z,1.92,0.29,4049,1556,NA,5605,20,NA,NA,NA,NA,NA,NA,NA,2021-07-25,3,3,mixed_harvest,UFCI2101,NA
1,2021-07-25T00:00:00Z,1.99,0.35,5135,2267,NA,7356,19,NA,NA,NA,NA,NA,NA,NA,2021-07-25,3,3,mixed_harvest,UFCI2101,NA
1,2021-08-01T00:00:00Z,2.09,0.27,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,2021-08-01,0,3,standing_only,UFCI2101,NA
1,2021-08-01T00:00:00Z,2.06,0.35,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,2021-08-01,0,3,standing_only,UFCI2101,NA
1,2021-08-01T00:00:00Z,2.16,0.42,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,2021-08-01,0,3,standing_only,UFCI2101,NA
1,2021-08-01T00:00:00Z,1.96,0.28,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,2021-08-01,0,3,standing_only,UFCI2101,NA
1,2021-08-01T00:00:00Z,NA,NA,4786,2222,NA,7009,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-01,3,0,harvest_only,UFCI2101,NA
1,2021-08-01T00:00:00Z,NA,NA,5530,2846,NA,8376,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-01,3,0,harvest_only,UFCI2101,NA
1,2021-08-01T00:00:00Z,NA,NA,4675,1515,NA,6191,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-01,3,0,harvest_only,UFCI2101,NA
1,2021-08-15T00:00:00Z,2.07,NA,4181,1852,NA,6034,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-15,3,1,mixed_harvest,UFCI2101,NA
1,2021-08-15T00:00:00Z,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-15,0,1,standing_only,UFCI2101,NA
1,2021-08-15T00:00:00Z,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-15,0,1,standing_only,UFCI2101,NA
1,2021-08-15T00:00:00Z,1.93,0.38,6009,2321,186.1,8517,NA,NA,NA,NA,NA,NA,1113,NA,2021-08-15,5,2,mixed_harvest,UFCI2101,NA
1,2021-08-15T00:00:00Z,2.042,0.314,5881,1785,203.9,7870,NA,NA,NA,NA,NA,NA,954,NA,2021-08-15,5,2,mixed_harvest,UFCI2101,NA
1,2021-08-15T00:00:00Z,2.174,0.32,5356,1801,124.7,7283,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-15,4,2,mixed_harvest,UFCI2101,NA
1,2021-08-15T00:00:00Z,NA,NA,3050,1432,34.6,5517,NA,NA,NA,NA,NA,NA,299,NA,2021-08-15,5,0,harvest_only,UFCI2101,NA
1,2021-08-25T00:00:00Z,2.02,0.54,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,2021-08-25,0,3,standing_only,UFCI2101,NA
1,2021-08-25T00:00:00Z,2.03,0.32,NA,NA,386.7,NA,18,NA,NA,NA,NA,NA,NA,NA,2021-08-25,1,3,mixed_harvest,UFCI2101,NA
1,2021-08-25T00:00:00Z,2.17,0.36,NA,NA,444,NA,22,NA,NA,NA,NA,NA,NA,NA,2021-08-25,1,3,mixed_harvest,UFCI2101,NA
1,2021-08-25T00:00:00Z,1.97,0.4,NA,NA,509.5,NA,16,NA,NA,NA,NA,NA,NA,NA,2021-08-25,1,3,mixed_harvest,UFCI2101,NA
1,2021-08-25T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-25,0,0,empty,UFCI2101,NA
1,2021-08-25T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-25,0,0,empty,UFCI2101,NA
1,2021-08-25T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-25,0,0,empty,UFCI2101,NA
1,2021-08-25T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-25,0,0,empty,UFCI2101,NA
1,2021-09-01T00:00:00Z,NA,NA,5043,1125,NA,6169,21,NA,NA,NA,NA,NA,NA,NA,2021-09-01,3,1,mixed_harvest,UFCI2101,NA
1,2021-09-01T00:00:00Z,2.19,0.42,4412,584,NA,4788,22,NA,NA,NA,NA,NA,NA,NA,2021-09-01,3,3,mixed_harvest,UFCI2101,NA
1,2021-09-01T00:00:00Z,1.92,0.26,4775,1623,NA,6663,18,NA,NA,NA,NA,NA,NA,NA,2021-09-01,3,3,mixed_harvest,UFCI2101,NA
1,2021-09-10T00:00:00Z,1.91,0.33,3671,886,877.8,4435,NA,NA,NA,NA,NA,NA,NA,NA,2021-09-10,4,2,mixed_harvest,UFCI2101,NA
1,2021-09-10T00:00:00Z,1.79,0.51,3548,1033,937.9,5520,NA,NA,NA,NA,NA,NA,NA,NA,2021-09-10,4,2,mixed_harvest,UFCI2101,NA
1,2021-09-10T00:00:00Z,2.14,0.6,4456,1168,705,6331,NA,NA,NA,NA,NA,NA,NA,NA,2021-09-10,4,2,mixed_harvest,UFCI2101,NA
1,2021-09-10T00:00:00Z,1.59,0.53,3323,1210,619.1,5153,NA,NA,NA,NA,NA,NA,NA,NA,2021-09-10,4,2,mixed_harvest,UFCI2101,NA
1,2021-09-30T00:00:00Z,2.125,0.39,NA,NA,1096,5216,20,NA,NA,NA,NA,NA,821,NA,2021-09-30,3,3,mixed_harvest,UFCI2101,NA
1,2021-09-30T00:00:00Z,2.09,0.36,NA,NA,969.3,5632,22,NA,NA,NA,NA,NA,343,NA,2021-09-30,3,3,mixed_harvest,UFCI2101,NA
1,2021-09-30T00:00:00Z,2.07,0.44,NA,NA,784.1,5081,23,NA,NA,NA,NA,NA,555,NA,2021-09-30,3,3,mixed_harvest,UFCI2101,NA
1,2021-09-30T00:00:00Z,2.16,0.43,NA,NA,567,4005,23,NA,NA,NA,NA,NA,NA,NA,2021-09-30,2,3,mixed_harvest,UFCI2101,NA
1,2021-09-30T00:00:00Z,1.86,0.42,NA,NA,940.2,5103,19,NA,NA,NA,NA,NA,NA,NA,2021-09-30,2,3,mixed_harvest,UFCI2101,NA
2,2021-05-18T00:00:00Z,0.066,0.06,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2021-05-18,0,3,standing_only,UFCI2101,NA
2,2021-05-18T00:00:00Z,0.068,0.071,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2021-05-18,0,3,standing_only,UFCI2101,NA
2,2021-05-18T00:00:00Z,0.048,0.063,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2021-05-18,0,3,standing_only,UFCI2101,NA
2,2021-05-25T00:00:00Z,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-25,0,1,standing_only,UFCI2101,NA
2,2021-05-25T00:00:00Z,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-25,0,1,standing_only,UFCI2101,NA
2,2021-05-25T00:00:00Z,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-25,0,1,standing_only,UFCI2101,NA
2,2021-05-25T00:00:00Z,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-25,0,1,standing_only,UFCI2101,NA
2,2021-05-25T00:00:00Z,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-25,0,1,standing_only,UFCI2101,NA
2,2021-05-25T00:00:00Z,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-25,0,1,standing_only,UFCI2101,NA
2,2021-05-25T00:00:00Z,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-25,0,1,standing_only,UFCI2101,NA
2,2021-05-25T00:00:00Z,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-25,0,1,standing_only,UFCI2101,NA
2,2021-05-25T00:00:00Z,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-25,0,1,standing_only,UFCI2101,NA
2,2021-05-25T00:00:00Z,0.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-25,0,1,standing_only,UFCI2101,NA
2,2021-05-25T00:00:00Z,NA,NA,14.14,35.35,NA,49.5,NA,NA,NA,NA,NA,NA,2.475,NA,2021-05-25,4,0,harvest_only,UFCI2101,NA
2,2021-05-25T00:00:00Z,NA,NA,26.07,65.17,NA,91.25,NA,NA,NA,NA,NA,NA,4.562,NA,2021-05-25,4,0,harvest_only,UFCI2101,NA
2,2021-05-25T00:00:00Z,NA,NA,18.14,45.35,NA,63.5,NA,NA,NA,NA,NA,NA,3.175,NA,2021-05-25,4,0,harvest_only,UFCI2101,NA
2,2021-06-09T00:00:00Z,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-09,0,1,standing_only,UFCI2101,NA
2,2021-06-09T00:00:00Z,0.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-09,0,1,standing_only,UFCI2101,NA
2,2021-06-09T00:00:00Z,0.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-09,0,1,standing_only,UFCI2101,NA
2,2021-06-09T00:00:00Z,0.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-09,0,1,standing_only,UFCI2101,NA
2,2021-06-09T00:00:00Z,0.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-09,0,1,standing_only,UFCI2101,NA
2,2021-06-09T00:00:00Z,0.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-09,0,1,standing_only,UFCI2101,NA
2,2021-06-09T00:00:00Z,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-09,0,1,standing_only,UFCI2101,NA
2,2021-06-09T00:00:00Z,0.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-09,0,1,standing_only,UFCI2101,NA
2,2021-06-09T00:00:00Z,0.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-09,0,1,standing_only,UFCI2101,NA
2,2021-06-09T00:00:00Z,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-09,0,1,standing_only,UFCI2101,NA
2,2021-06-23T00:00:00Z,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-23,0,1,standing_only,UFCI2101,NA
2,2021-06-23T00:00:00Z,0.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-23,0,1,standing_only,UFCI2101,NA
2,2021-06-23T00:00:00Z,0.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-23,0,1,standing_only,UFCI2101,NA
2,2021-06-23T00:00:00Z,0.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-23,0,1,standing_only,UFCI2101,NA
2,2021-06-23T00:00:00Z,0.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-23,0,1,standing_only,UFCI2101,NA
2,2021-06-23T00:00:00Z,0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-23,0,1,standing_only,UFCI2101,NA
2,2021-06-23T00:00:00Z,0.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-23,0,1,standing_only,UFCI2101,NA
2,2021-06-23T00:00:00Z,0.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-23,0,1,standing_only,UFCI2101,NA
2,2021-06-23T00:00:00Z,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-23,0,1,standing_only,UFCI2101,NA
2,2021-06-23T00:00:00Z,0.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-23,0,1,standing_only,UFCI2101,NA
2,2021-07-01T00:00:00Z,NA,NA,457.1,385.4,21,863,NA,NA,NA,NA,NA,NA,81.25,NA,2021-07-01,5,0,harvest_only,UFCI2101,NA
2,2021-07-01T00:00:00Z,NA,NA,252.5,213.2,17.25,483,NA,NA,NA,NA,NA,NA,31.25,NA,2021-07-01,5,0,harvest_only,UFCI2101,NA
2,2021-07-01T00:00:00Z,NA,NA,478.1,404.1,28,910,NA,NA,NA,NA,NA,NA,49.25,NA,2021-07-01,5,0,harvest_only,UFCI2101,NA
2,2021-07-08T00:00:00Z,0.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-08,0,1,standing_only,UFCI2101,NA
2,2021-07-08T00:00:00Z,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-08,0,1,standing_only,UFCI2101,NA
2,2021-07-08T00:00:00Z,0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-08,0,1,standing_only,UFCI2101,NA
2,2021-07-08T00:00:00Z,0.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-08,0,1,standing_only,UFCI2101,NA
2,2021-07-08T00:00:00Z,0.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-08,0,1,standing_only,UFCI2101,NA
2,2021-07-08T00:00:00Z,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-08,0,1,standing_only,UFCI2101,NA
2,2021-07-08T00:00:00Z,0.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-08,0,1,standing_only,UFCI2101,NA
2,2021-07-08T00:00:00Z,0.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-08,0,1,standing_only,UFCI2101,NA
2,2021-07-08T00:00:00Z,1.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-08,0,1,standing_only,UFCI2101,NA
2,2021-07-08T00:00:00Z,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-08,0,1,standing_only,UFCI2101,NA
2,2021-07-19T00:00:00Z,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,2021-07-19,0,1,standing_only,UFCI2101,NA
2,2021-07-22T00:00:00Z,0.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-22,0,1,standing_only,UFCI2101,NA
2,2021-07-22T00:00:00Z,0.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-22,0,1,standing_only,UFCI2101,NA
2,2021-07-22T00:00:00Z,0.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-22,0,1,standing_only,UFCI2101,NA
2,2021-07-22T00:00:00Z,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-22,0,1,standing_only,UFCI2101,NA
2,2021-07-22T00:00:00Z,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-22,0,1,standing_only,UFCI2101,NA
2,2021-07-22T00:00:00Z,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-22,0,1,standing_only,UFCI2101,NA
2,2021-07-22T00:00:00Z,0.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-22,0,1,standing_only,UFCI2101,NA
2,2021-07-22T00:00:00Z,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-22,0,1,standing_only,UFCI2101,NA
2,2021-07-22T00:00:00Z,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-22,0,1,standing_only,UFCI2101,NA
2,2021-07-22T00:00:00Z,0.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-22,0,1,standing_only,UFCI2101,NA
2,2021-08-04T00:00:00Z,0.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-04,0,1,standing_only,UFCI2101,NA
2,2021-08-04T00:00:00Z,1.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-04,0,1,standing_only,UFCI2101,NA
2,2021-08-04T00:00:00Z,0.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-04,0,1,standing_only,UFCI2101,NA
2,2021-08-04T00:00:00Z,0.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-04,0,1,standing_only,UFCI2101,NA
2,2021-08-04T00:00:00Z,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-04,0,1,standing_only,UFCI2101,NA
2,2021-08-04T00:00:00Z,0.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-04,0,1,standing_only,UFCI2101,NA
2,2021-08-04T00:00:00Z,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-04,0,1,standing_only,UFCI2101,NA
2,2021-08-04T00:00:00Z,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-04,0,1,standing_only,UFCI2101,NA
2,2021-08-04T00:00:00Z,0.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-04,0,1,standing_only,UFCI2101,NA
2,2021-08-04T00:00:00Z,0.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-04,0,1,standing_only,UFCI2101,NA
2,2021-08-04T00:00:00Z,NA,NA,150,42,24,216,NA,NA,NA,NA,NA,NA,44,NA,2021-08-04,5,0,harvest_only,UFCI2101,NA
