Trt,CV,Yr,Irri,Nit,Vari,DAP,Value
26,TC310,2005,F2,380,GrainYield,110,5236.9044
27,TC310,2005,F3,380,GrainYield,110,4317.161333
28,TC310,2005,F4,380,GrainYield,110,3434.9588
29,TC310,2005,F5,380,GrainYield,110,1853.563833
30,TC310,2005,F6,380,GrainYield,110,1295.1484
31,TC310,2006,F2,190,GrainYield,110,4095.940333
32,TC310,2006,F3,190,GrainYield,110,3823.568667
33,TC310,2006,F4,190,GrainYield,110,2801.456667
34,TC310,2006,F5,190,GrainYield,110,1652.453833
35,TC310,2006,F6,190,GrainYield,110,1321.963067
36,TC310,2006,F2,380,GrainYield,110,5039.8166
37,TC310,2006,F3,380,GrainYield,110,4479.2436
38,TC310,2006,F4,380,GrainYield,110,3065.367067
39,TC310,2006,F5,380,GrainYield,110,2174.382167
40,TC310,2006,F6,380,GrainYield,110,1739.505733
